receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.498000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
46.725000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.501619438 -0.895177564 2.310533283 -0.117810175 -1.330546613 0.017196403
64.604000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505941598 -0.858447110 2.326662720 -0.122434084 -1.468978035 0.012506423
70.703000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505153011 -0.853631392 2.325982625 -0.119616695 -1.473050301 0.011727370
76.802000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504485666 -0.851184581 2.325651783 -0.117249750 -1.475120557 0.011250653
82.906000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504861751 -0.842755868 2.324218216 -0.118494575 -1.482085492 0.010546991
89.002000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504909865 -0.835468339 2.322961854 -0.118601787 -1.488076044 0.009845483
95.103000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.506001467 -0.834352907 2.322662390 -0.122407665 -1.488911595 0.010054608
101.203000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.506233568 -0.829754994 2.321825740 -0.123190939 -1.492665692 0.009661441
103.621000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,18,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
