action_mode,approach_step_distance_m,max_guarded_steps,contact_detection_force_threshold_n,retreat_distance_m,max_allowed_force_n,emergency_stop_force_threshold_n,source
baseline_fixed_action,0.004000,12,0.020000,0.030000,8.000000,6.000000,fixed_baseline
context_conditioned_action,"0.004000 nominal, 0.003000 offsets","12 nominal, 14 offsets",0.020000,0.030000,8.000000,6.000000,v2.13_embeddings_with_v2.14_mapping
