elapsed_sec,joint_name,position,velocity,effort
334.667637577,joint_5,0.799980387,nan,nan
334.667637577,joint_6,-0.000002368,nan,nan
334.688042177,joint_1,-0.000001233,nan,nan
334.688042177,joint_2,-0.799980420,nan,nan
334.688042177,joint_3,1.200003830,nan,nan
334.688042177,joint_4,0.000020847,nan,nan
334.688042177,joint_5,0.799980387,nan,nan
334.688042177,joint_6,-0.000002368,nan,nan
334.733878376,joint_1,-0.000001233,nan,nan
334.733878376,joint_2,-0.799980420,nan,nan
334.733878376,joint_3,1.200003830,nan,nan
334.733878376,joint_4,0.000020847,nan,nan
334.733878376,joint_5,0.799980387,nan,nan
334.733878376,joint_6,-0.000002368,nan,nan
334.751383876,joint_1,-0.000001233,nan,nan
334.751383876,joint_2,-0.799980420,nan,nan
334.751383876,joint_3,1.200003830,nan,nan
334.751383876,joint_4,0.000020847,nan,nan
334.751383876,joint_5,0.799980387,nan,nan
334.751383876,joint_6,-0.000002368,nan,nan
334.776364975,joint_1,-0.000001233,nan,nan
334.776364975,joint_2,-0.799980420,nan,nan
334.776364975,joint_3,1.200003830,nan,nan
334.776364975,joint_4,0.000020847,nan,nan
334.776364975,joint_5,0.799980387,nan,nan
334.776364975,joint_6,-0.000002368,nan,nan
334.820362175,joint_1,-0.000001233,nan,nan
334.820362175,joint_2,-0.799980420,nan,nan
334.820362175,joint_3,1.200003830,nan,nan
334.820362175,joint_4,0.000020847,nan,nan
334.820362175,joint_5,0.799980387,nan,nan
334.820362175,joint_6,-0.000002368,nan,nan
334.851018074,joint_1,-0.000001233,nan,nan
334.851018074,joint_2,-0.799980420,nan,nan
334.851018074,joint_3,1.200003830,nan,nan
334.851018074,joint_4,0.000020847,nan,nan
334.851018074,joint_5,0.799980387,nan,nan
334.851018074,joint_6,-0.000002368,nan,nan
334.882962173,joint_1,-0.000001233,nan,nan
334.882962173,joint_2,-0.799980420,nan,nan
334.882962173,joint_3,1.200003830,nan,nan
334.882962173,joint_4,0.000020847,nan,nan
334.882962173,joint_5,0.799980387,nan,nan
334.882962173,joint_6,-0.000002368,nan,nan
334.906727073,joint_1,-0.000001233,nan,nan
334.906727073,joint_2,-0.799980420,nan,nan
334.906727073,joint_3,1.200003830,nan,nan
334.906727073,joint_4,0.000020847,nan,nan
334.906727073,joint_5,0.799980387,nan,nan
334.906727073,joint_6,-0.000002368,nan,nan
334.933872773,joint_1,-0.000001233,nan,nan
334.933872773,joint_2,-0.799980420,nan,nan
334.933872773,joint_3,1.200003830,nan,nan
334.933872773,joint_4,0.000020847,nan,nan
334.933872773,joint_5,0.799980387,nan,nan
334.933872773,joint_6,-0.000002368,nan,nan
334.957789772,joint_1,-0.000001233,nan,nan
334.957789772,joint_2,-0.799980420,nan,nan
334.957789772,joint_3,1.200003830,nan,nan
334.957789772,joint_4,0.000020847,nan,nan
334.957789772,joint_5,0.799980387,nan,nan
334.957789772,joint_6,-0.000002368,nan,nan
334.981301772,joint_1,-0.000001233,nan,nan
334.981301772,joint_2,-0.799980420,nan,nan
334.981301772,joint_3,1.200003830,nan,nan
334.981301772,joint_4,0.000020847,nan,nan
334.981301772,joint_5,0.799980387,nan,nan
334.981301772,joint_6,-0.000002368,nan,nan
335.008512171,joint_1,-0.000001233,nan,nan
335.008512171,joint_2,-0.799980420,nan,nan
335.008512171,joint_3,1.200003830,nan,nan
335.008512171,joint_4,0.000020847,nan,nan
335.008512171,joint_5,0.799980387,nan,nan
335.008512171,joint_6,-0.000002368,nan,nan
335.032701671,joint_1,-0.000001233,nan,nan
335.032701671,joint_2,-0.799980420,nan,nan
335.032701671,joint_3,1.200003830,nan,nan
335.032701671,joint_4,0.000020847,nan,nan
335.032701671,joint_5,0.799980387,nan,nan
