elapsed_sec,level,status
0.065731000,WARNING,WARNING: waiting for first /joint_states message
0.265023400,WARNING,WARNING: waiting for first /joint_states message
0.463632900,WARNING,WARNING: waiting for first /joint_states message
0.663822200,WARNING,WARNING: waiting for first /joint_states message
0.864162300,WARNING,WARNING: waiting for first /joint_states message
1.064870100,WARNING,WARNING: waiting for first /joint_states message
1.266071499,WARNING,WARNING: waiting for first /joint_states message
1.464514999,WARNING,WARNING: waiting for first /joint_states message
1.663765998,WARNING,WARNING: waiting for first /joint_states message
1.863832098,WARNING,WARNING: waiting for first /joint_states message
2.063794997,WARNING,WARNING: waiting for first /joint_states message
2.268733797,WARNING,WARNING: waiting for first /joint_states message
2.463665797,WARNING,WARNING: waiting for first /joint_states message
2.663455496,WARNING,WARNING: waiting for first /joint_states message
2.863811896,WARNING,WARNING: waiting for first /joint_states message
3.063807795,WARNING,WARNING: waiting for first /joint_states message
3.263511795,WARNING,WARNING: waiting for first /joint_states message
3.463469895,WARNING,WARNING: waiting for first /joint_states message
3.663749494,WARNING,WARNING: waiting for first /joint_states message
3.864719094,WARNING,WARNING: waiting for first /joint_states message
4.064582193,WARNING,WARNING: waiting for first /joint_states message
4.264852093,WARNING,WARNING: waiting for first /joint_states message
4.464714092,WARNING,WARNING: waiting for first /joint_states message
4.664234492,WARNING,WARNING: waiting for first /joint_states message
4.863501092,WARNING,WARNING: waiting for first /joint_states message
5.063473891,WARNING,WARNING: waiting for first /joint_states message
5.263476391,WARNING,WARNING: waiting for first /joint_states message
5.463598690,WARNING,WARNING: waiting for first /joint_states message
5.663680690,WARNING,WARNING: waiting for first /joint_states message
5.864035989,WARNING,WARNING: waiting for first /joint_states message
6.063762789,WARNING,WARNING: waiting for first /joint_states message
6.263388089,WARNING,WARNING: waiting for first /joint_states message
6.463530688,WARNING,WARNING: waiting for first /joint_states message
6.663473788,WARNING,WARNING: waiting for first /joint_states message
6.863462787,WARNING,WARNING: waiting for first /joint_states message
7.063596987,WARNING,WARNING: waiting for first /joint_states message
7.264683787,WARNING,WARNING: waiting for first /joint_states message
7.463858886,WARNING,WARNING: waiting for first /joint_states message
7.663449486,WARNING,WARNING: waiting for first /joint_states message
7.863787685,WARNING,WARNING: waiting for first /joint_states message
8.063654585,WARNING,WARNING: waiting for first /joint_states message
8.264193284,WARNING,WARNING: waiting for first /joint_states message
8.465039784,WARNING,WARNING: waiting for first /joint_states message
8.663564484,WARNING,WARNING: waiting for first /joint_states message
8.863509683,WARNING,WARNING: waiting for first /joint_states message
9.063717781,WARNING,WARNING: waiting for first /joint_states message
9.263513370,WARNING,WARNING: waiting for first /joint_states message
9.464610958,WARNING,WARNING: waiting for first /joint_states message
9.663618747,WARNING,WARNING: waiting for first /joint_states message
9.863749035,WARNING,WARNING: waiting for first /joint_states message
10.063726724,WARNING,WARNING: waiting for first /joint_states message
10.263656312,WARNING,WARNING: waiting for first /joint_states message
10.463641201,WARNING,WARNING: waiting for first /joint_states message
10.663535389,WARNING,WARNING: waiting for first /joint_states message
10.863468178,WARNING,WARNING: waiting for first /joint_states message
11.064123266,WARNING,WARNING: waiting for first /joint_states message
11.266546255,WARNING,WARNING: waiting for first /joint_states message
11.463600643,WARNING,WARNING: waiting for first /joint_states message
11.663786632,WARNING,WARNING: waiting for first /joint_states message
11.863554020,WARNING,WARNING: waiting for first /joint_states message
12.063642409,WARNING,WARNING: waiting for first /joint_states message
12.263930997,WARNING,WARNING: waiting for first /joint_states message
12.463899386,WARNING,WARNING: waiting for first /joint_states message
12.663677774,WARNING,WARNING: waiting for first /joint_states message
12.863882463,WARNING,WARNING: waiting for first /joint_states message
13.063763051,WARNING,WARNING: waiting for first /joint_states message
13.264743640,WARNING,WARNING: waiting for first /joint_states message
13.463784428,WARNING,WARNING: waiting for first /joint_states message
13.664009417,WARNING,WARNING: waiting for first /joint_states message
13.863577005,WARNING,WARNING: waiting for first /joint_states message
14.063889494,WARNING,WARNING: waiting for first /joint_states message
14.263799182,WARNING,WARNING: waiting for first /joint_states message
14.463737571,WARNING,WARNING: waiting for first /joint_states message
14.664080959,WARNING,WARNING: waiting for first /joint_states message
14.863550148,WARNING,WARNING: waiting for first /joint_states message
15.063485736,WARNING,WARNING: waiting for first /joint_states message
15.266981325,WARNING,WARNING: waiting for first /joint_states message
15.463480013,WARNING,WARNING: waiting for first /joint_states message
15.664063502,WARNING,WARNING: waiting for first /joint_states message
15.863799991,WARNING,WARNING: waiting for first /joint_states message
16.063471479,WARNING,WARNING: waiting for first /joint_states message
16.265520967,WARNING,WARNING: waiting for first /joint_states message
16.463951456,WARNING,WARNING: waiting for first /joint_states message
16.664680344,WARNING,WARNING: waiting for first /joint_states message
16.863824733,WARNING,WARNING: waiting for first /joint_states message
17.063465022,WARNING,WARNING: waiting for first /joint_states message
17.263421619,WARNING,WARNING: waiting for first /joint_states message
17.464290515,WARNING,WARNING: waiting for first /joint_states message
17.663444312,WARNING,WARNING: waiting for first /joint_states message
17.863433108,WARNING,WARNING: waiting for first /joint_states message
18.063403005,WARNING,WARNING: waiting for first /joint_states message
18.263442701,WARNING,WARNING: waiting for first /joint_states message
18.463791798,WARNING,WARNING: waiting for first /joint_states message
18.663808995,WARNING,WARNING: waiting for first /joint_states message
18.863470791,WARNING,WARNING: waiting for first /joint_states message
19.063449088,WARNING,WARNING: waiting for first /joint_states message
19.263464984,WARNING,WARNING: waiting for first /joint_states message
19.465883681,WARNING,WARNING: waiting for first /joint_states message
19.663580877,WARNING,WARNING: waiting for first /joint_states message
19.864927574,WARNING,WARNING: waiting for first /joint_states message
20.064200670,WARNING,WARNING: waiting for first /joint_states message
20.263455367,WARNING,WARNING: waiting for first /joint_states message
20.465987064,WARNING,WARNING: waiting for first /joint_states message
20.664346960,WARNING,WARNING: waiting for first /joint_states message
20.863457157,WARNING,WARNING: waiting for first /joint_states message
21.063642553,WARNING,WARNING: waiting for first /joint_states message
21.266701150,WARNING,WARNING: waiting for first /joint_states message
21.463480046,WARNING,WARNING: waiting for first /joint_states message
21.663460943,WARNING,WARNING: waiting for first /joint_states message
21.867555439,WARNING,WARNING: waiting for first /joint_states message
22.063837636,WARNING,WARNING: waiting for first /joint_states message
22.263478633,WARNING,WARNING: waiting for first /joint_states message
22.463453629,WARNING,WARNING: waiting for first /joint_states message
22.663512626,WARNING,WARNING: waiting for first /joint_states message
22.863524922,WARNING,WARNING: waiting for first /joint_states message
23.063443019,WARNING,WARNING: waiting for first /joint_states message
23.263732715,WARNING,WARNING: waiting for first /joint_states message
23.463416212,WARNING,WARNING: waiting for first /joint_states message
23.663809608,WARNING,WARNING: waiting for first /joint_states message
23.863446605,WARNING,WARNING: waiting for first /joint_states message
24.067323301,WARNING,WARNING: waiting for first /joint_states message
24.263452598,WARNING,WARNING: waiting for first /joint_states message
24.463411295,WARNING,WARNING: waiting for first /joint_states message
24.663620491,WARNING,WARNING: waiting for first /joint_states message
24.863902888,WARNING,WARNING: waiting for first /joint_states message
25.063525384,WARNING,WARNING: waiting for first /joint_states message
25.266539682,WARNING,WARNING: waiting for first /joint_states message
25.463418780,WARNING,WARNING: waiting for first /joint_states message
25.664208378,WARNING,WARNING: waiting for first /joint_states message
25.863430876,WARNING,WARNING: waiting for first /joint_states message
26.064636574,WARNING,WARNING: waiting for first /joint_states message
26.263507772,WARNING,WARNING: waiting for first /joint_states message
26.463430370,WARNING,WARNING: waiting for first /joint_states message
26.663417168,WARNING,WARNING: waiting for first /joint_states message
26.863579266,WARNING,WARNING: waiting for first /joint_states message
27.063543463,WARNING,WARNING: waiting for first /joint_states message
27.263694361,WARNING,WARNING: waiting for first /joint_states message
27.463425559,WARNING,WARNING: waiting for first /joint_states message
27.663725457,WARNING,WARNING: waiting for first /joint_states message
27.865905555,WARNING,WARNING: waiting for first /joint_states message
28.064230153,WARNING,WARNING: waiting for first /joint_states message
28.263478151,WARNING,WARNING: waiting for first /joint_states message
28.463662449,WARNING,WARNING: waiting for first /joint_states message
28.663746647,WARNING,WARNING: waiting for first /joint_states message
28.863434145,WARNING,WARNING: waiting for first /joint_states message
29.063425443,WARNING,WARNING: waiting for first /joint_states message
29.263763640,WARNING,WARNING: waiting for first /joint_states message
29.463469338,WARNING,WARNING: waiting for first /joint_states message
29.663493536,WARNING,WARNING: waiting for first /joint_states message
29.863770834,WARNING,WARNING: waiting for first /joint_states message
30.063433132,WARNING,WARNING: waiting for first /joint_states message
30.263592230,WARNING,WARNING: waiting for first /joint_states message
30.463422028,WARNING,WARNING: waiting for first /joint_states message
30.663735726,WARNING,WARNING: waiting for first /joint_states message
30.863691124,WARNING,WARNING: waiting for first /joint_states message
31.063918922,WARNING,WARNING: waiting for first /joint_states message
31.264490820,WARNING,WARNING: waiting for first /joint_states message
31.463546618,WARNING,WARNING: waiting for first /joint_states message
31.663592315,WARNING,WARNING: waiting for first /joint_states message
31.863436613,WARNING,WARNING: waiting for first /joint_states message
32.063435611,WARNING,WARNING: waiting for first /joint_states message
32.263664409,WARNING,WARNING: waiting for first /joint_states message
32.464110607,WARNING,WARNING: waiting for first /joint_states message
32.663710805,WARNING,WARNING: waiting for first /joint_states message
32.863466503,WARNING,WARNING: waiting for first /joint_states message
33.063736301,WARNING,WARNING: waiting for first /joint_states message
33.263419600,WARNING,WARNING: waiting for first /joint_states message
33.463549799,WARNING,WARNING: waiting for first /joint_states message
33.663651498,WARNING,WARNING: waiting for first /joint_states message
33.863591397,WARNING,WARNING: waiting for first /joint_states message
34.063615396,WARNING,WARNING: waiting for first /joint_states message
34.263866395,WARNING,WARNING: waiting for first /joint_states message
34.463715694,WARNING,WARNING: waiting for first /joint_states message
34.663847993,WARNING,WARNING: waiting for first /joint_states message
34.863502992,WARNING,WARNING: waiting for first /joint_states message
35.064768891,WARNING,WARNING: waiting for first /joint_states message
35.263448691,WARNING,WARNING: waiting for first /joint_states message
35.463752590,WARNING,WARNING: waiting for first /joint_states message
35.664056089,WARNING,WARNING: waiting for first /joint_states message
35.863431788,WARNING,WARNING: waiting for first /joint_states message
36.063575987,WARNING,WARNING: waiting for first /joint_states message
36.264045286,WARNING,WARNING: waiting for first /joint_states message
36.465884085,WARNING,WARNING: waiting for first /joint_states message
36.663751584,WARNING,WARNING: waiting for first /joint_states message
36.863680383,WARNING,WARNING: waiting for first /joint_states message
37.063754982,WARNING,WARNING: waiting for first /joint_states message
37.263523281,WARNING,WARNING: waiting for first /joint_states message
37.463794880,WARNING,WARNING: waiting for first /joint_states message
37.663444779,WARNING,WARNING: waiting for first /joint_states message
37.864430578,WARNING,WARNING: waiting for first /joint_states message
38.063462877,WARNING,WARNING: waiting for first /joint_states message
38.263443676,WARNING,WARNING: waiting for first /joint_states message
38.463941875,WARNING,WARNING: waiting for first /joint_states message
38.663731275,WARNING,WARNING: waiting for first /joint_states message
38.863453274,WARNING,WARNING: waiting for first /joint_states message
39.064255873,WARNING,WARNING: waiting for first /joint_states message
39.264180072,WARNING,WARNING: waiting for first /joint_states message
39.463793871,WARNING,WARNING: waiting for first /joint_states message
39.663582470,WARNING,WARNING: waiting for first /joint_states message
39.863458369,WARNING,WARNING: waiting for first /joint_states message
40.063787368,WARNING,WARNING: waiting for first /joint_states message
40.264756467,WARNING,WARNING: waiting for first /joint_states message
40.463513966,WARNING,WARNING: waiting for first /joint_states message
40.663529065,WARNING,WARNING: waiting for first /joint_states message
40.863523364,WARNING,WARNING: waiting for first /joint_states message
41.063381863,WARNING,WARNING: waiting for first /joint_states message
41.263465862,WARNING,WARNING: waiting for first /joint_states message
41.463454962,WARNING,WARNING: waiting for first /joint_states message
41.663427461,WARNING,WARNING: waiting for first /joint_states message
41.864007960,WARNING,WARNING: waiting for first /joint_states message
