scenario,step_index,force_n,torque_nm,contact_detection_force_threshold_n,contact_validation_min_force_n,raw_contact_topic_available,raw_contact_message_count,raw_contact_count,robot_pad_contact_count,raw_contact_pairs_sample,robot_contact_pairs_sample,max_contact_depth_m,desired_contact_force_upper_n,contact_gate_triggered,within_desired_contact_band,emergency_stop_triggered
nominal_centered,1,0.092008,0.000000,0.020000,0.020000,true,3794,4183,778,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,0.018401627,3.000000,true,true,false
x_positive_offset,1,0.092575,0.000000,0.020000,0.020000,true,376,752,752,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,0.018515085,3.000000,true,true,false
x_negative_offset,1,0.093114,0.000000,0.020000,0.020000,true,381,762,762,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,0.018622800,3.000000,true,true,false
y_positive_offset,1,0.088474,0.000000,0.020000,0.020000,true,386,772,772,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,0.017822945,3.000000,true,true,false
y_negative_offset,1,0.091392,0.000000,0.020000,0.020000,true,374,748,748,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_4::link_4_collision|proposal_v2_14_context_conditioned_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_14_context_conditioned_action::link_5::link_5_collision,0.018280023,3.000000,true,true,false
