receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.537000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
30.516000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.502175143 -0.894953001 2.310625159 -0.112679134 -1.331400620 0.025690931
42.404000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503355016 -0.862205332 2.327497581 -0.113396365 -1.465964778 0.011916370
48.503000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504564154 -0.861160803 2.327223009 -0.117628173 -1.466785305 0.012269203
54.605000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.500080518 -0.866138720 2.330560441 -0.116889547 -1.465142185 0.012382714
60.706000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504908412 -0.870065994 2.328524999 -0.118931942 -1.459245977 0.013301400
66.803000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505462299 -0.866652940 2.327966714 -0.120843118 -1.462110233 0.013177722
72.903000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505621620 -0.865377850 2.327757203 -0.121386944 -1.463171096 0.013102696
79.003000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505372064 -0.867954537 2.328172937 -0.120551291 -1.461004687 0.013280354
81.412000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,16,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
