elapsed_sec,level,status
3.212410508,WARNING,WARNING: waiting for first /task_phase message
3.213306008,OK,OK: joint states valid during phase uninitialized
3.237687508,OK,OK: joint states valid during phase uninitialized
3.263508108,OK,OK: joint states valid during phase uninitialized
3.283422108,OK,OK: joint states valid during phase uninitialized
3.303540208,OK,OK: joint states valid during phase uninitialized
3.336269408,OK,OK: joint states valid during phase uninitialized
3.361409109,OK,OK: joint states valid during phase uninitialized
3.391391409,OK,OK: joint states valid during phase uninitialized
3.412486709,WARNING,WARNING: waiting for first /task_phase message
3.415496609,OK,OK: joint states valid during phase uninitialized
3.438156709,OK,OK: joint states valid during phase uninitialized
3.459633309,OK,OK: joint states valid during phase uninitialized
3.478062909,OK,OK: joint states valid during phase uninitialized
3.499910009,OK,OK: joint states valid during phase uninitialized
3.521735009,OK,OK: joint states valid during phase uninitialized
3.540839209,OK,OK: joint states valid during phase uninitialized
3.564939909,OK,OK: joint states valid during phase uninitialized
3.584059109,OK,OK: joint states valid during phase uninitialized
3.606225509,OK,OK: joint states valid during phase uninitialized
3.611037009,WARNING,WARNING: waiting for first /task_phase message
3.637781609,OK,OK: joint states valid during phase uninitialized
3.656670409,OK,OK: joint states valid during phase uninitialized
3.683023909,OK,OK: joint states valid during phase uninitialized
3.705423209,OK,OK: joint states valid during phase uninitialized
3.728788709,OK,OK: joint states valid during phase uninitialized
3.752535010,OK,OK: joint states valid during phase uninitialized
3.771402710,OK,OK: joint states valid during phase uninitialized
3.791357810,OK,OK: joint states valid during phase uninitialized
3.810978810,WARNING,WARNING: waiting for first /task_phase message
3.816089710,OK,OK: joint states valid during phase uninitialized
3.837123610,OK,OK: joint states valid during phase uninitialized
3.856923510,OK,OK: joint states valid during phase uninitialized
3.881241510,OK,OK: joint states valid during phase uninitialized
3.901320610,OK,OK: joint states valid during phase uninitialized
3.921109910,OK,OK: joint states valid during phase uninitialized
3.941388810,OK,OK: joint states valid during phase uninitialized
3.961870010,OK,OK: joint states valid during phase uninitialized
3.981089810,OK,OK: joint states valid during phase uninitialized
4.002719210,OK,OK: joint states valid during phase uninitialized
4.010937310,WARNING,WARNING: waiting for first /task_phase message
4.022487510,OK,OK: joint states valid during phase uninitialized
4.042668210,OK,OK: joint states valid during phase uninitialized
4.065898610,OK,OK: joint states valid during phase uninitialized
4.087551210,OK,OK: joint states valid during phase uninitialized
4.108982310,OK,OK: joint states valid during phase uninitialized
4.132382110,OK,OK: joint states valid during phase uninitialized
4.154376710,OK,OK: joint states valid during phase uninitialized
4.173469011,OK,OK: joint states valid during phase uninitialized
4.197903611,OK,OK: joint states valid during phase uninitialized
4.211431511,WARNING,WARNING: waiting for first /task_phase message
4.217203911,OK,OK: joint states valid during phase uninitialized
4.237060211,OK,OK: joint states valid during phase uninitialized
4.262974311,OK,OK: joint states valid during phase uninitialized
4.286872311,OK,OK: joint states valid during phase uninitialized
4.309094711,OK,OK: joint states valid during phase uninitialized
4.326504811,OK,OK: joint states valid during phase uninitialized
4.346364911,OK,OK: joint states valid during phase uninitialized
4.369107911,OK,OK: joint states valid during phase uninitialized
4.387610211,OK,OK: joint states valid during phase uninitialized
4.410426311,OK,OK: joint states valid during phase uninitialized
4.410723611,WARNING,WARNING: waiting for first /task_phase message
4.435964411,OK,OK: joint states valid during phase uninitialized
4.459742111,OK,OK: joint states valid during phase uninitialized
4.480147111,OK,OK: joint states valid during phase uninitialized
4.502147711,OK,OK: joint states valid during phase uninitialized
4.525579411,OK,OK: joint states valid during phase uninitialized
4.545860911,OK,OK: joint states valid during phase uninitialized
4.566757211,OK,OK: joint states valid during phase uninitialized
4.586809112,OK,OK: joint states valid during phase uninitialized
4.610711812,OK,OK: joint states valid during phase uninitialized
4.610984112,WARNING,WARNING: waiting for first /task_phase message
4.632124712,OK,OK: joint states valid during phase uninitialized
4.652547312,OK,OK: joint states valid during phase uninitialized
4.676860412,OK,OK: joint states valid during phase uninitialized
4.701590212,OK,OK: joint states valid during phase uninitialized
4.723110712,OK,OK: joint states valid during phase uninitialized
4.749912512,OK,OK: joint states valid during phase uninitialized
4.771691512,OK,OK: joint states valid during phase uninitialized
4.794103712,OK,OK: joint states valid during phase uninitialized
