scenario_id,peg_diameter_mm,hole_diameter_mm,radial_clearance_mm,initial_xy_offset_mm,tier,n_trials,successes,success_rate,search_converge_rate,contact_guided_count,timeout_count,safety_abort_count,sideload_abort_count,xy_exceeded_count,handoff_timeout_count,envelope_zone,feasibility_label,clearance_to_noise_ratio,avg_duration_s,avg_insertion_depth_m,avg_final_xy_error_m,avg_max_force_n
baseline_loose,25.0,27.0,1.0,0.0,clearance_sweep,20,16,0.8,1.0,0,0,4,3,0,0,robust,in_envelope,2.0,45.3,0.0182,0.0004,52.9
clearance_medium,25.0,26.0,0.5,0.0,clearance_sweep,20,0,0.0,1.0,0,0,20,0,14,6,marginal,marginal,1.0,13.4,0.0,0.0,0.0
clearance_tight,25.0,25.5,0.25,0.0,clearance_sweep,20,0,0.0,1.0,0,0,20,0,14,6,out_of_envelope,out_of_envelope,0.5,3.8,0.0,0.0,0.0
large_peg_large_hole,28.0,30.0,1.0,0.0,size_variation,20,19,0.95,1.0,0,0,1,0,0,1,robust,in_envelope,2.0,25.2,0.0194,0.0005,50.2
small_peg_small_hole,22.0,24.0,1.0,0.0,size_variation,20,20,1.0,1.0,0,0,0,0,0,0,robust,in_envelope,2.0,24.6,0.0203,0.0004,51.9
misaligned_baseline,25.0,27.0,1.0,1.0,combined_difficulty,20,17,0.85,1.0,0,0,3,1,2,0,robust,in_envelope,2.0,35.8,0.0186,0.0006,51.6
tight_plus_misaligned,25.0,25.5,0.25,1.0,combined_difficulty,20,0,0.0,1.0,0,0,20,0,20,0,out_of_envelope,out_of_envelope,0.5,1.9,0.0,0.0,0.0
