elapsed_sec,joint_states,tf,rgb_image,depth_image,contact_wrench,contact_state,safety_status,readiness_gates,pre_control_contract,controller_boundary_report,all_required_inputs_available,status
8.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
8.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
9.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.216,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
10.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
11.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.221,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.618,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
12.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.617,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
13.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.018,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.217,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.417,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.618,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
14.817,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
15.017,true,true,true,true,true,true,true,true,true,true,true,control_development_scaffold_validated
