elapsed_sec,proposal_generated,proposal_blocked,command_output_enabled,virtual_force_magnitude_n,admittance_linear_speed_mps,sent_to_controller,status
17.617,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
17.817,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
18.017,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
18.217,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
18.417,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
18.617,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
18.817,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
19.017,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
19.217,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
19.417,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
19.617,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
19.817,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
20.017,true,true,false,0.000000,0.000000,false,blocked_diagnostic_proposal
