elapsed_sec,command_output_enabled,motion_execution_enabled,controller_execution_allowed,trajectory_execution_allowed,follow_joint_trajectory_allowed,real_robot_allowed,moveit_allowed,compute_ik_allowed,command_proposal_blocked,execution_paths_disabled,status
17.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
17.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
18.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.217,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.417,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.617,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
19.817,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
20.017,false,false,false,false,false,false,false,false,true,true,blocking_all_command_outputs
