receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.108000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
42.505000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.502550385 -0.893606852 2.311504305 -0.111687525 -1.337644416 0.027773423
60.604000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502494642 -0.866455667 2.328220886 -0.110421355 -1.462424197 0.011991530
66.703000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503299101 -0.872109935 2.328978888 -0.113303428 -1.457593208 0.012853271
72.808000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503870995 -0.862214232 2.327447601 -0.115205510 -1.465927993 0.012112323
78.904000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.504674847 -0.852949079 2.325915737 -0.117932982 -1.473641908 0.011492522
85.102000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505052268 -0.853980152 2.326067637 -0.119282989 -1.472829738 0.011742197
91.205000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.505993516 -0.852431380 2.325704464 -0.122559583 -1.473987595 0.011898987
97.302000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.506074888 -0.854333592 2.326008098 -0.122867033 -1.472423355 0.012146446
99.625000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,17,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
