trial,final_state,trial_outcome,success,failed_phase,insertion_depth_m,peak_raw_fz_N,sustained_contact_force_N,max_cartesian_error_m,timeout,safety_abort,return_code,elapsed_s,reason,log_path
1,NO_OUTCOME,NO_OUTCOME,False,launch_or_logging,0.0,0.0,0.0,0.0,True,False,-15,140.03,No fresh /tmp/insertion_trial_outcome.json was written.,diagnostics/research_baseline_force_safe_insert_v3/trial_01.log
2,DONE,ABORTED,False,MOVING_TO_START,0.0,77.38,56.89,0.594986,True,False,0,111.11,"MOVING_TO_START timeout/degraded failure (90.0s). cart_err=0.595m, joint_err=0.646rad, tolerance=0.050m",diagnostics/research_baseline_force_safe_insert_v3/trial_02.log
3,DONE,ABORTED,False,SEARCH,0.0,2990.77,2962.19,0.099716,True,True,0,135.77,Hard force abort: raw Fz 2990.8N exceeded 1000.0N in state SEARCH.,diagnostics/research_baseline_force_safe_insert_v3/trial_03.log
