receipt_stamp_s,joint_names,point_count,final_time_from_start_s,final_positions_rad
2.575000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,20,40.000000000,-0.502569330 -0.992067746 2.340681722 -0.112780859 -1.349980297 0.024802178
50.321000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,8,15.000000000,-0.500381605 -0.895079578 2.310738462 -0.112681064 -1.331125955 0.016824676
68.103000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502482947 -0.857724082 2.326883847 -0.110295001 -1.469772940 0.011168245
74.202000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502400805 -0.856188081 2.326652282 -0.109998189 -1.471066599 0.010990727
80.302000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.501866459 -0.856882925 2.326806468 -0.108130746 -1.470527090 0.010865972
86.407000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.502251052 -0.848258232 2.325382140 -0.109396540 -1.477680626 0.010212238
92.500000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503800593 -0.845870463 2.324852048 -0.114812366 -1.479555155 0.010510512
98.603000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503504653 -0.839107261 2.323742127 -0.113699047 -1.485177941 0.009745768
104.704000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,1,5.000000000,-0.503472815 -0.840025734 2.323894181 -0.113599446 -1.484435319 0.009837158
107.119000000,joint_1 joint_2 joint_3 joint_4 joint_5 joint_6,17,25.000000000,0.000000000 -0.800000000 1.200000000 0.000000000 0.800000000 0.000000000
