stamp_s,state,fx_n,fy_n,fz_n,force_norm_n,tx_nm,ty_nm,tz_nm,torque_norm_nm,peg_x_m,peg_y_m,peg_z_m,xy_error_m
142.560000000,DONE,9.127085972,-30.760845254,-14.892882671,35.374160815,-0.880616958,-0.010983975,-0.048277957,0.882007730,0.803001511,0.096397537,1.035235905,0.409806485
142.570000000,DONE,-32.002457907,0.183504497,-61.011823045,68.895816544,5.651664385,1.848653173,-0.341866433,5.956148213,0.799240216,0.098188307,1.037159830,0.408523396
142.580000000,DONE,2.228880724,38.947187312,11.579034318,40.693062610,0.894136324,0.081928189,0.083290662,0.901736840,0.797267931,0.100010680,1.039367114,0.408514276
142.590000000,DONE,23.200178521,36.942395032,74.584349275,86.404941935,-4.577504829,-1.762463536,0.302136238,4.914378341,0.798348981,0.100312560,1.040629689,0.409470132
142.600000000,DONE,8.567447695,-39.044510104,43.334922973,58.955834981,-0.945495496,-0.474819401,-0.061660838,1.059819445,0.801059628,0.100509930,1.039819427,0.411461702
142.610000000,DONE,20.852435756,-83.616034399,-28.383741879,90.730932370,-10.222120755,-0.263983001,0.054028024,10.225671557,0.804268444,0.097884968,1.037926439,0.411757213
142.620000000,DONE,10.620845953,-29.417447009,-17.945135001,36.058513939,-0.856149183,-0.026735844,-0.048139234,0.857918187,0.801651262,0.097499029,1.037693665,0.409674390
142.630000000,DONE,19.579572273,17.453304094,80.914793809,85.059869100,5.755740530,-1.539616270,-0.244632051,5.963121008,0.799319083,0.098362729,1.038139626,0.408704622
142.640000000,DONE,-10.373024316,6.385767413,-17.632074759,21.430532407,-0.268570624,0.209541068,-0.046214035,0.343763547,0.799329072,0.100299829,1.039509073,0.410127684
142.650000000,DONE,26.784362966,34.760311432,80.262444421,91.475359167,-4.600614449,-2.003838562,0.295863186,5.026783994,0.800584534,0.101597899,1.040297084,0.411933215
142.660000000,DONE,3.147998599,-34.779154331,13.959287199,37.607993436,-0.926336431,0.012973219,-0.045948026,0.927566013,0.801655447,0.099265932,1.041108745,0.410962150
142.670000000,DONE,26.323981433,-65.598330728,72.686143034,101.387220013,-1.808653150,-1.626037535,-0.201805374,2.440481446,0.802951967,0.098787571,1.038414730,0.411504348
142.680000000,DONE,18.163061330,-0.304049157,-15.386160626,23.805948450,0.346389898,-0.260756336,0.056115761,0.437182807,0.799418901,0.099812922,1.037276933,0.409832540
142.690000000,DONE,-36.087567682,4.031935618,-35.657398177,50.892230161,5.403034124,1.838769040,-0.292735312,5.714852867,0.797582675,0.098113115,1.038249314,0.407337171
142.700000000,DONE,10.401038615,5.927793323,-27.361595379,29.865988007,-0.262744664,0.013907754,-0.038556208,0.265922479,0.797324919,0.096710316,1.037751330,0.406135596
142.710000000,DONE,11.834776265,1.066319341,-42.351013542,43.986444664,-4.672315872,-0.156712598,0.305260628,4.684898984,0.800752699,0.096557257,1.038443289,0.408372728
142.720000000,DONE,3.357200722,-7.368456218,18.816380433,20.484655631,0.208726415,0.051889839,0.047544936,0.220272088,0.802512258,0.099521746,1.038686833,0.411735902
142.730000000,DONE,58.749160174,115.497689936,69.628920972,147.103252300,11.978966506,-2.692745862,0.224518213,12.279940035,0.800973775,0.099468912,1.038286139,0.410643265
142.740000000,DONE,-3.633929840,34.512691935,-11.042619295,36.418000928,0.849002068,-0.007404571,0.042531015,0.850098951,0.801183770,0.098720111,1.038896086,0.410241414
142.750000000,DONE,2.293968597,27.893939258,-77.385270931,82.291034119,0.733939424,0.903317711,0.032412169,1.164345530,0.798311466,0.098696636,1.038451223,0.408260888
142.759000000,DONE,11.833311538,15.587520962,-27.097075021,33.425283041,0.310937991,0.004779393,-0.002466932,0.310984505,0.799456499,0.097629905,1.038107563,0.408264002
142.770000000,DONE,54.945482402,-4.950270040,50.343770288,74.686052356,-5.585666546,-2.260711595,0.290405122,6.032812181,0.802233018,0.098069054,1.038495408,0.410488291
142.780000000,DONE,-8.470013176,-19.679648739,-17.818621741,27.866341318,-0.293985583,0.215458507,-0.019897648,0.365028502,0.800119038,0.100142971,1.039883293,0.410551432
142.790000000,DONE,47.003899742,39.418632168,84.172496126,104.154713081,-4.579909458,-2.250806505,0.305540860,5.112245669,0.798568357,0.101301758,1.039107715,0.410345073
142.800000000,DONE,-11.131915651,2.756406977,-42.634699991,44.150141210,-0.314535383,0.460704665,-0.053351625,0.560381737,0.801761916,0.098155970,1.039126814,0.410227693
142.810000000,DONE,-30.875309603,-3.759696928,-41.702550827,52.024252129,5.189724301,1.936362636,-0.128834179,5.540698226,0.801375451,0.098984188,1.038966605,0.410565085
142.820000000,DONE,1.215714395,-30.514103350,15.918545919,34.438184751,-0.889677445,0.056622068,-0.049804602,0.892867579,0.800550428,0.099090529,1.038152920,0.410077660
142.830000000,DONE,42.075595183,-33.452468828,51.008363195,74.103147683,-9.075381751,-1.931686783,0.079597131,9.279024919,0.798635190,0.098664345,1.037007786,0.408458027
142.840000000,DONE,15.304738221,18.514352791,4.236366590,24.391864897,0.362119737,-0.427490273,0.000604272,0.560249054,0.797608618,0.097344163,1.039089428,0.406792448
142.850000000,DONE,-23.553150834,136.094457528,-90.970016921,165.384389416,13.248277190,1.607548120,0.128163621,13.346066288,0.798251141,0.097766568,1.040285874,0.407539724
142.860000000,DONE,6.487115188,-38.991504623,50.927792820,64.467512576,-1.005528240,-0.501926938,-0.067897647,1.125889774,0.801593137,0.101294927,1.040127747,0.412399476
142.870000000,DONE,-29.141850665,-67.267550586,-93.058655538,118.465540106,-1.681449856,1.501564915,-0.217055737,2.264748111,0.802403474,0.097011162,1.040053629,0.409838203
142.880000000,DONE,-5.371822440,-32.696506699,-0.886607019,33.146705698,-0.916027742,-0.073789408,-0.071374812,0.921762477,0.801765768,0.097348280,1.038795766,0.409643684
142.890000000,DONE,34.504394277,94.823096742,83.793536291,131.161463945,10.885971434,-1.934772254,-0.026163595,11.056599942,0.797459775,0.099812933,1.036969547,0.408499353
142.900000000,DONE,12.478839175,32.969883814,32.188310658,47.737008797,0.810710674,-0.502149920,0.065161663,0.955851652,0.797873531,0.100607774,1.036159353,0.409363814
142.910000000,DONE,9.115029049,-129.533541285,-24.108176003,132.072806522,-11.759994329,0.027638538,-0.109980510,11.760541068,0.801542830,0.097595652,1.035606906,0.409670035
