stamp_s,max_abs_position_error_rad,rms_position_error_rad,joint_1_reference_rad,joint_1_feedback_rad,joint_1_error_rad,joint_2_reference_rad,joint_2_feedback_rad,joint_2_error_rad,joint_3_reference_rad,joint_3_feedback_rad,joint_3_error_rad,joint_4_reference_rad,joint_4_feedback_rad,joint_4_error_rad,joint_5_reference_rad,joint_5_feedback_rad,joint_5_error_rad,joint_6_reference_rad,joint_6_feedback_rad,joint_6_error_rad
2.665000000,0.003534089,0.002635440,-0.001961495,0.001572594,-0.003534089,-0.798842449,-0.800025854,0.001183405,1.201434894,1.198640223,0.002794671,0.004008253,0.005020515,-0.001012261,0.805707715,0.802886503,0.002821213,0.001297198,-0.002017757,0.003314955
2.668000000,0.006114672,0.003399299,-0.001961495,0.000811417,-0.002772912,-0.798842449,-0.799525149,0.000682700,1.201434894,1.197671485,0.003763409,0.004008253,0.002175782,0.001832472,0.805707715,0.808210884,-0.002503168,0.001297198,0.007411870,-0.006114672
2.673000000,0.004211882,0.002339468,-0.001961495,0.000114027,-0.002075521,-0.798842449,-0.799676126,0.000833677,1.201434894,1.199400454,0.002034440,0.004008253,0.003566835,0.000441418,0.805707715,0.801495834,0.004211882,0.001297198,-0.001103245,0.002400443
2.676000000,0.015928390,0.007200628,-0.001961495,-0.000239066,-0.001722428,-0.798842449,-0.799683098,0.000840648,1.201434894,1.199308398,0.002126496,0.004008253,0.010459618,-0.006451365,0.805707715,0.808458192,-0.002750477,0.001297198,-0.014631192,0.015928390
2.680000000,0.003536915,0.002211777,-0.001961495,0.000182579,-0.002144074,-0.798842449,-0.799939376,0.001096927,1.201434894,1.200779766,0.000655128,0.004008253,0.005879470,-0.001871217,0.805707715,0.803041065,0.002666650,0.001297198,-0.002239717,0.003536915
2.684000000,0.010119497,0.006256912,-0.001961495,0.001085480,-0.003046975,-0.798842449,-0.800226985,0.001384536,1.201434894,1.202104573,-0.000669678,0.004008253,-0.001036807,0.005045060,0.805707715,0.795588218,0.010119497,0.001297198,0.011063842,-0.009766644
2.688000000,0.004035269,0.002176408,-0.001961495,0.002073774,-0.004035269,-0.798842449,-0.799566551,0.000724102,1.201434894,1.199678685,0.001756209,0.004008253,0.003782871,0.000225383,0.805707715,0.804623469,0.001084247,0.001297198,-0.001405048,0.002702246
2.692000000,0.013688756,0.006774013,-0.001961495,0.002811915,-0.004773410,-0.798842449,-0.799090534,0.000248084,1.201434894,1.198337147,0.003097747,0.004008253,0.010398864,-0.006390611,0.805707715,0.801879072,0.003828643,0.001297198,-0.012391558,0.013688756
2.696000000,0.005239627,0.003615530,-0.001961495,0.003278132,-0.005239627,-0.798842449,-0.799044766,0.000202317,1.201434894,1.198373238,0.003061656,0.004008253,0.007967432,-0.003959179,0.805707715,0.803039717,0.002667998,0.001297198,-0.003035318,0.004332516
2.702000000,0.011810307,0.006572969,-0.001961495,0.003378304,-0.005339798,-0.798842449,-0.799846046,0.001003597,1.201434894,1.201526669,-0.000091775,0.004008253,0.001115529,0.002892725,0.805707715,0.793897408,0.011810307,0.001297198,0.010343922,-0.009046724
2.704000000,0.004628992,0.003493121,-0.001961495,0.002667498,-0.004628992,-0.798842449,-0.800382034,0.001539585,1.201434894,1.201822083,-0.000387189,0.004008253,0.007673290,-0.003665037,0.805707715,0.801485318,0.004222397,0.001297198,-0.002945731,0.004242929
2.708000000,0.004768158,0.003286120,-0.001961495,0.001764401,-0.003725896,-0.798842449,-0.800147798,0.001305349,1.201434894,1.200847687,0.000587207,0.004008253,0.006618746,-0.002610492,0.805707715,0.810475874,-0.004768158,0.001297198,0.005691562,-0.004394364
2.713000000,0.002545949,0.001632797,-0.001961495,0.000584454,-0.002545949,-0.798842449,-0.799305653,0.000463204,1.201434894,1.200002203,0.001432691,0.004008253,0.002560444,0.001447809,0.805707715,0.807967214,-0.002259499,0.001297198,0.001083512,0.000213686
2.716000000,0.010870822,0.004784608,-0.001961495,-0.000576660,-0.001384835,-0.798842449,-0.798441573,-0.000400876,1.201434894,1.198803946,0.002630948,0.004008253,0.005474034,-0.001465781,0.805707715,0.802873777,0.002833939,0.001297198,-0.009573624,0.010870822
2.720000000,0.004421529,0.002234358,-0.001961495,-0.001048750,-0.000912745,-0.798842449,-0.797571611,-0.001270838,1.201434894,1.197013365,0.004421529,0.004008253,0.002336592,0.001671662,0.805707715,0.807166786,-0.001459071,0.001297198,-0.000444277,0.001741475
2.724000000,0.010247328,0.004960640,-0.001961495,-0.001160619,-0.000800876,-0.798842449,-0.797608371,-0.001234079,1.201434894,1.197861683,0.003573211,0.004008253,0.003625120,0.000383133,0.805707715,0.800457861,0.005249854,0.001297198,-0.008950130,0.010247328
