timestamp_sec,scenario_id,phase_name,step_index,x_offset_m,y_offset_m,yaw_offset_deg,joint_positions,joint_velocities,selected_contact_link_pose_xyz,tool0_pose_xyz,contact_force_n,contact_torque_nm,contact_gate_triggered,initial_no_contact_verified,stop_on_contact_executed,retreat_completed,rgb_topic_available,depth_topic_available,camera_info_available,rgb_frame_count,depth_frame_count
30.079850,nominal_centered,nominal_centered:return_to_ready_pose,0,0.000000,0.000000,0.000000,joint_1=-0.000069001;joint_2=-0.789256716;joint_3=1.201956043;joint_4=-0.008111486;joint_5=0.799899742;joint_6=0.023828996,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799975,-0.263880,1.057649","0.799043,-0.207608,0.907340",0.000000,0.000000,false,true,false,true,true,true,true,512,512
30.080250,nominal_centered,nominal_centered:validate_final_state,0,0.000000,0.000000,0.000000,joint_1=-0.000069001;joint_2=-0.789256716;joint_3=1.201956043;joint_4=-0.008111486;joint_5=0.799899742;joint_6=0.023828996,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799975,-0.263880,1.057649","0.799043,-0.207608,0.907340",0.000000,0.000000,false,true,false,true,true,true,true,512,512
30.080671,x_positive_offset,x_positive_offset:start,0,0.003000,0.000000,0.000000,joint_1=-0.000069001;joint_2=-0.789256716;joint_3=1.201956043;joint_4=-0.008111486;joint_5=0.799899742;joint_6=0.023828996,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799975,-0.263880,1.057649","0.799043,-0.207608,0.907340",0.000000,0.000000,false,false,false,false,true,true,true,512,512
31.938649,x_positive_offset,x_positive_offset:move_to_ready_pose,0,0.003000,0.000000,0.000000,joint_1=0.001432152;joint_2=-0.797886624;joint_3=1.197059186;joint_4=-0.009282407;joint_5=0.805255057;joint_6=0.022441392,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.800694,-0.264119,1.063168","0.799702,-0.206620,0.913324",0.000000,0.000000,false,false,false,false,true,true,true,549,549
33.696390,x_positive_offset,x_positive_offset:move_to_no_contact_standby_pose,0,0.003000,0.000000,0.000000,joint_1=-0.001045678;joint_2=-0.805725625;joint_3=1.188376066;joint_4=-0.001717439;joint_5=0.811285313;joint_6=0.022983456,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799490,-0.263920,1.069386","0.799228,-0.204856,0.920149",0.000000,0.000000,false,false,false,false,true,true,true,584,583
35.022713,x_positive_offset,x_positive_offset:compute_pad_pose,0,0.003000,0.000000,0.000000,joint_1=-0.001090683;joint_2=-0.805867889;joint_3=1.188218443;joint_4=-0.001580067;joint_5=0.811394763;joint_6=0.022993310,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799468,-0.263918,1.069498","0.799219,-0.204825,0.920273",0.000000,0.000000,false,false,false,false,true,true,true,607,606
35.023114,x_positive_offset,x_positive_offset:spawn_or_reposition_pad,0,0.003000,0.000000,0.000000,joint_1=-0.001090683;joint_2=-0.805867889;joint_3=1.188218443;joint_4=-0.001580067;joint_5=0.811394763;joint_6=0.022993310,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799468,-0.263918,1.069498","0.799219,-0.204825,0.920273",0.000000,0.000000,false,false,false,false,true,true,true,607,606
36.028087,x_positive_offset,x_positive_offset:verify_initial_no_contact,0,0.003000,0.000000,0.000000,joint_1=-0.001091493;joint_2=-0.805870451;joint_3=1.188215604;joint_4=-0.001577593;joint_5=0.811396734;joint_6=0.022993488,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799468,-0.263918,1.069501","0.799219,-0.204824,0.920276",0.000000,0.000000,false,true,false,false,true,true,true,627,626
36.028619,x_positive_offset,execute_bounded_approach_to_contact_steps,0,0.003000,0.000000,0.000000,joint_1=-0.001091493;joint_2=-0.805870451;joint_3=1.188215604;joint_4=-0.001577593;joint_5=0.811396734;joint_6=0.022993488,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799468,-0.263918,1.069501","0.799219,-0.204824,0.920276",0.000000,0.000000,false,true,false,false,true,true,true,627,626
40.295206,x_positive_offset,execute_contact_trigger_steps,1,0.003000,0.000000,0.000000,joint_1=-0.001091493;joint_2=-0.805870451;joint_3=1.188215594;joint_4=-0.001577586;joint_5=0.815389130;joint_6=0.027353598,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799468,-0.263918,1.069501","0.799219,-0.205423,0.920040",0.091598,0.000000,true,true,true,false,true,true,true,700,700
40.295829,x_positive_offset,x_positive_offset:stop_on_contact_gate,0,0.003000,0.000000,0.000000,joint_1=-0.001091493;joint_2=-0.805870451;joint_3=1.188215594;joint_4=-0.001577586;joint_5=0.815389130;joint_6=0.027353598,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.799468,-0.263918,1.069501","0.799219,-0.205423,0.920040",0.091598,0.000000,true,true,true,false,true,true,true,700,700
42.512334,x_positive_offset,x_positive_offset:retreat_to_no_contact_standby_pose,0,0.003000,0.000000,0.000000,joint_1=0.010635361;joint_2=-0.802075826;joint_3=1.189355625;joint_4=0.007942726;joint_5=0.812196249;joint_6=0.024791742,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805118,-0.263683,1.067359","0.806646,-0.205459,0.917800",0.092044,0.000000,true,true,true,false,true,true,true,723,723
43.833787,x_positive_offset,x_positive_offset:verify_post_retreat_no_contact,0,0.003000,0.000000,0.000000,joint_1=0.011585170;joint_2=-0.801768483;joint_3=1.189447962;joint_4=0.008713816;joint_5=0.812097028;joint_6=0.024584231,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805633,-0.263665,1.067164","0.807322,-0.205487,0.917589",0.000000,0.000000,false,true,false,true,true,true,true,744,744
45.548246,x_positive_offset,x_positive_offset:return_to_ready_pose,0,0.003000,0.000000,0.000000,joint_1=0.011888131;joint_2=-0.807503100;joint_3=1.192175458;joint_4=0.010094979;joint_5=0.792196569;joint_6=0.011494414,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805769,-0.264561,1.069181","0.807653,-0.202993,0.920972",0.000000,0.000000,false,true,false,true,true,true,true,776,776
45.548728,x_positive_offset,x_positive_offset:validate_final_state,0,0.003000,0.000000,0.000000,joint_1=0.011888131;joint_2=-0.807503100;joint_3=1.192175458;joint_4=0.010094979;joint_5=0.792196569;joint_6=0.011494414,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805769,-0.264561,1.069181","0.807653,-0.202993,0.920972",0.000000,0.000000,false,true,false,true,true,true,true,776,776
45.549212,x_negative_offset,x_negative_offset:start,0,-0.003000,0.000000,0.000000,joint_1=0.011888131;joint_2=-0.807503100;joint_3=1.192175458;joint_4=0.010094979;joint_5=0.792196569;joint_6=0.011494414,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.805769,-0.264561,1.069181","0.807653,-0.202993,0.920972",0.000000,0.000000,false,false,false,false,true,true,true,776,776
46.959197,x_negative_offset,x_negative_offset:move_to_ready_pose,0,-0.003000,0.000000,0.000000,joint_1=-0.007685874;joint_2=-0.807824330;joint_3=1.207082378;joint_4=0.001562894;joint_5=0.796449588;joint_6=0.012399279,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.796280,-0.266288,1.065215","0.796008,-0.207488,0.915874",0.000000,0.000000,false,false,false,false,true,true,true,804,803
49.273016,x_negative_offset,x_negative_offset:move_to_no_contact_standby_pose,0,-0.003000,0.000000,0.000000,joint_1=0.006499043;joint_2=-0.790258150;joint_3=1.188851103;joint_4=-0.008877549;joint_5=0.814559811;joint_6=0.015581648,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803167,-0.262429,1.061724","0.802496,-0.206236,0.911384",0.000000,0.000000,false,false,false,false,true,true,true,847,847
50.608650,x_negative_offset,x_negative_offset:compute_pad_pose,0,-0.003000,0.000000,0.000000,joint_1=0.006650124;joint_2=-0.790071144;joint_3=1.188656962;joint_4=-0.008988664;joint_5=0.814752592;joint_6=0.015615523,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803241,-0.262389,1.061686","0.802564,-0.206224,0.911336",0.000000,0.000000,false,false,false,false,true,true,true,872,872
50.609250,x_negative_offset,x_negative_offset:spawn_or_reposition_pad,0,-0.003000,0.000000,0.000000,joint_1=0.006650124;joint_2=-0.790071144;joint_3=1.188656962;joint_4=-0.008988664;joint_5=0.814752592;joint_6=0.015615523,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803241,-0.262389,1.061686","0.802564,-0.206224,0.911336",0.000000,0.000000,false,false,false,false,true,true,true,872,872
51.613052,x_negative_offset,x_negative_offset:verify_initial_no_contact,0,-0.003000,0.000000,0.000000,joint_1=0.006652312;joint_2=-0.790068435;joint_3=1.188654150;joint_4=-0.008990274;joint_5=0.814755385;joint_6=0.015616014,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803242,-0.262389,1.061686","0.802566,-0.206223,0.911335",0.000000,0.000000,false,true,false,false,true,true,true,891,891
51.613431,x_negative_offset,execute_bounded_approach_to_contact_steps,0,-0.003000,0.000000,0.000000,joint_1=0.006652312;joint_2=-0.790068435;joint_3=1.188654150;joint_4=-0.008990274;joint_5=0.814755385;joint_6=0.015616014,joint_1=nan;joint_2=nan;joint_3=nan;joint_4=nan;joint_5=nan;joint_6=nan,"0.803242,-0.262389,1.061686","0.802566,-0.206223,0.911335",0.000000,0.000000,false,true,false,false,true,true,true,891,891
