elapsed_sec,blocked_control_command_generated,blocked_control_command_confirmed,command_output_enabled,motion_execution_enabled,controller_execution_allowed,trajectory_execution_allowed,follow_joint_trajectory_allowed,moveit_allowed,compute_ik_allowed,sent_to_controller,status
19.082,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.282,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.481,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
19.881,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
20.083,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
20.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
20.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
20.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
20.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
21.082,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
21.282,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
21.481,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
21.681,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
21.881,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
22.080,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
22.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
22.479,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
22.680,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
22.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
23.081,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
23.282,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
23.480,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
23.683,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
23.880,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
24.081,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
24.280,true,true,false,false,false,false,false,false,false,false,all_commands_blocked
