elapsed_sec,safety_report_available,contact_detected,contact_force_magnitude_n,warning_force_exceeded,emergency_stop_force_exceeded,within_force_limit,within_torque_limit,safety_clipping_active,status
19.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.083,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
20.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
21.082,true,false,0.000000,false,false,true,true,true,safety_report_nominal
21.282,true,false,0.000000,false,false,true,true,true,safety_report_nominal
21.481,true,false,0.000000,false,false,true,true,true,safety_report_nominal
21.681,true,false,0.000000,false,false,true,true,true,safety_report_nominal
21.881,true,false,0.000000,false,false,true,true,true,safety_report_nominal
22.080,true,false,0.000000,false,false,true,true,true,safety_report_nominal
22.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
22.479,true,false,0.000000,false,false,true,true,true,safety_report_nominal
22.680,true,false,0.000000,false,false,true,true,true,safety_report_nominal
22.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
23.081,true,false,0.000000,false,false,true,true,true,safety_report_nominal
23.282,true,false,0.000000,false,false,true,true,true,safety_report_nominal
23.480,true,false,0.000000,false,false,true,true,true,safety_report_nominal
23.683,true,false,0.000000,false,false,true,true,true,safety_report_nominal
23.880,true,false,0.000000,false,false,true,true,true,safety_report_nominal
24.081,true,false,0.000000,false,false,true,true,true,safety_report_nominal
24.280,true,false,0.000000,false,false,true,true,true,safety_report_nominal
