elapsed_sec,control_law_enabled,dry_run_only,all_required_inputs_available,control_law_output_generated,blocked_control_command_generated,blocked_control_command_confirmed,safety_report_available,execution_paths_disabled,status
17.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
17.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
17.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
17.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
18.084,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
18.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
18.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
18.681,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
18.881,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
19.082,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
19.282,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
19.481,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
19.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
19.881,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
20.083,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
20.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
20.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
20.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
20.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
21.082,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
21.282,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
21.481,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
21.681,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
21.881,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
22.080,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
22.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
22.479,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
22.680,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
22.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
23.081,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
23.282,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
23.480,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
23.683,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
23.880,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
24.081,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
24.280,true,true,true,true,true,true,true,true,no_motion_control_law_dry_run_validated
