elapsed_sec,control_law_output_generated,contact_force_magnitude_n,contact_torque_magnitude_nm,insertion_axis_correction_x_m,insertion_axis_correction_y_m,force_limited_velocity_suggestion_mps,virtual_force_corrected_z_mps,safety_clipped_z_mps,sent_to_controller,status
10.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
10.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
11.081,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
11.281,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
11.482,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
11.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
11.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
12.080,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
12.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
12.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
12.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
12.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
13.080,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
13.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
13.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
13.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
13.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
14.080,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
14.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
14.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
14.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
14.881,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
15.083,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
15.283,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
15.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
15.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
15.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
16.080,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
16.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
16.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
16.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
16.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
17.080,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
17.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
17.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
17.680,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
17.880,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
18.084,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
18.280,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
18.480,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
18.681,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
18.881,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
19.082,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
19.282,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
19.481,true,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,false,diagnostic_control_law_output_blocked
