phase,status,timestamp_sec,duration_sec,final_error_deg,max_force_n_so_far,max_torque_nm_so_far,safety_violation_count,note
y_positive_offset:stop_on_contact_gate,succeeded,64.726679,0.000000,0.000000,0.092151,0.000000,0,Contact gate checked for scenario
y_positive_offset:retreat_to_no_contact_standby_pose,succeeded,66.903625,2.115330,0.532646,0.092663,0.000000,0,Motion phase executed through Gazebo controller
y_positive_offset:verify_post_retreat_no_contact,succeeded,68.213481,0.000000,0.000000,0.092671,0.000000,0,Post-retreat no-contact checked for scenario
y_positive_offset:return_to_ready_pose,succeeded,69.618780,1.354318,0.604921,0.092671,0.000000,0,Motion phase executed through Gazebo controller
y_positive_offset:validate_final_state,succeeded,69.618808,0.000000,0.604921,0.092671,0.000000,0,Scenario final state checked
y_negative_offset:start,succeeded,69.618819,0.000000,0.000000,0.000000,0.000000,0,Scenario started
y_negative_offset:move_to_ready_pose,succeeded,70.924756,1.254791,0.644307,0.000000,0.000000,0,Motion phase executed through Gazebo controller
y_negative_offset:move_to_no_contact_standby_pose,succeeded,72.329994,1.354263,0.631525,0.000000,0.000000,0,Motion phase executed through Gazebo controller
y_negative_offset:compute_pad_pose,succeeded,73.635229,0.000000,0.000000,0.000000,0.000000,0,Scenario pad pose computed from batch geometry and offset
y_negative_offset:spawn_or_reposition_pad,succeeded,73.635243,0.000000,0.000000,0.000000,0.000000,0,Scenario pad spawned or repositioned
y_negative_offset:verify_initial_no_contact,succeeded,74.637518,0.000000,0.000000,0.000000,0.000000,0,Initial no-contact checked for scenario
execute_bounded_approach_to_contact_steps,succeeded,74.637523,0.000000,0.000000,0.000000,0.000000,0,Contact trigger step loop started
y_negative_offset:stop_on_contact_gate,succeeded,78.116833,0.000000,0.000000,0.091713,0.000000,0,Contact gate checked for scenario
y_negative_offset:retreat_to_no_contact_standby_pose,succeeded,79.657519,1.489580,0.632295,0.093147,0.000000,0,Motion phase executed through Gazebo controller
y_negative_offset:verify_post_retreat_no_contact,succeeded,80.974107,0.000000,0.000000,0.093324,0.000000,0,Post-retreat no-contact checked for scenario
y_negative_offset:return_to_ready_pose,succeeded,82.630414,1.605185,0.606616,0.093324,0.000000,0,Motion phase executed through Gazebo controller
y_negative_offset:validate_final_state,succeeded,82.630440,0.000000,0.606616,0.093324,0.000000,0,Scenario final state checked
