scenario,step_index,status,duration_sec,commanded_axis,max_step_distance_m,measured_contact_link_x,measured_contact_link_y,measured_contact_link_z,estimated_clearance_m,force_n,torque_nm,contact_gate_triggered,emergency_stop_triggered,joint_state_snapshot,raw_contact_topic_available,raw_contact_message_count,raw_contact_count,robot_pad_contact_count,raw_contact_pairs_sample,robot_contact_pairs_sample,max_contact_depth_m
nominal_centered,1,succeeded,2.167571,vertical_negative_z,0.004000,0.803343,-0.262711,1.063222,-0.002000,0.092160,0.000000,true,false,joint_1=0.006863144;joint_2=-0.793269105;joint_3=1.188741112;joint_4=-0.011756344;joint_5=0.809464767;joint_6=0.026546790,true,3788,4153,730,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,0.018432037
x_positive_offset,1,succeeded,2.157884,vertical_negative_z,0.004000,0.796381,-0.265968,1.067725,-0.002000,0.089212,0.000000,true,false,joint_1=-0.007472037;joint_2=-0.810227315;joint_3=1.202217442;joint_4=0.005999476;joint_5=0.814344198;joint_6=0.038548488,true,387,774,774,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,0.017948646
x_negative_offset,1,succeeded,2.156801,vertical_negative_z,0.004000,0.794184,-0.264609,1.071145,-0.002000,0.089181,0.000000,true,false,joint_1=-0.011977092;joint_2=-0.810258032;joint_3=1.189965607;joint_4=-0.011740712;joint_5=0.806650260;joint_6=0.026943144,true,374,748,748,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,0.017838266
y_positive_offset,1,succeeded,2.156199,vertical_negative_z,0.004000,0.800667,-0.264247,1.067766,-0.002000,0.092148,0.000000,true,false,joint_1=0.001376609;joint_2=-0.804625007;joint_3=1.192279843;joint_4=-0.003070348;joint_5=0.809015053;joint_6=0.027149568,true,377,754,754,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,0.018430260
y_negative_offset,1,succeeded,2.156787,vertical_negative_z,0.004000,0.805387,-0.264401,1.067890,-0.002000,0.091713,0.000000,true,false,joint_1=0.011095728;joint_2=-0.805209057;joint_3=1.192853272;joint_4=-0.001438886;joint_5=0.810623743;joint_6=0.026495942,true,377,754,754,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_4::link_4_collision|proposal_v2_10_misalignment_contact_pad::contact_calibration_pad_link::contact_calibration_pad_collision <-> lbr_iisy3_r760_v2_10_misalignment_contact::link_5::link_5_collision,0.018342524
