elapsed_sec,future_controller_may_read_required_inputs,future_controller_may_publish_diagnostic_suggestions_only,motion_commands_forbidden,moveit_forbidden,compute_ik_forbidden,controller_execution_forbidden,real_robot_execution_forbidden,follow_joint_trajectory_forbidden,pre_control_contract_valid,status
0.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
0.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
0.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.454,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.654,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
1.854,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.054,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.655,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
2.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.257,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.654,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
3.854,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.054,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.455,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
4.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
5.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.054,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.454,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.656,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
6.857,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.055,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.457,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.658,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
7.856,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
8.057,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
8.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
8.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
8.656,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
8.856,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
9.055,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
9.257,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
9.454,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
9.655,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
9.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
10.056,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
10.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
10.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
10.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
10.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
11.054,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
11.254,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
11.456,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
11.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
11.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
12.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
12.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
12.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
12.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
12.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
13.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
13.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
13.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
13.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
13.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
14.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
14.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
14.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
14.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
14.855,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
15.057,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
15.256,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
15.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
15.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
15.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
16.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
16.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
16.454,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
16.653,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
16.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
17.053,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
17.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
17.453,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
17.654,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
17.853,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
18.057,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
18.253,true,true,true,true,true,true,true,true,false,pre_control_contract_pending
