stamp_s,tick_index,ground_truth_phase,ground_truth_safety,predicted_phase_int,predicted_phase_name,target_joint_1,target_joint_2,target_joint_3,target_joint_4,target_joint_5,target_joint_6
1780622086.391089,2885,INSERTED,OK,8,ABORT,-0.000148,-0.795536,1.208763,0.000961,0.801700,0.000174
1780622086.518073,2886,INSERTED,OK,5,INSERT,-0.000148,-0.796055,1.209775,0.000963,0.802241,0.000173
1780622086.616509,2887,INSERTED,OK,6,INSERTED,-0.000148,-0.795716,1.209142,0.000960,0.801891,0.000173
1780622086.739655,2888,INSERTED,OK,6,INSERTED,-0.000152,-0.796415,1.210631,0.000962,0.802615,0.000174
1780622086.832153,2889,INSERTED,OK,5,INSERT,-0.000150,-0.796666,1.210995,0.000967,0.802874,0.000174
1780622086.976311,2890,INSERTED,OK,6,INSERTED,-0.000149,-0.795134,1.208053,0.000954,0.801288,0.000173
1780622087.046141,2891,INSERTED,OK,6,INSERTED,-0.000149,-0.795942,1.209587,0.000964,0.802120,0.000175
1780622087.186992,2892,INSERTED,OK,5,INSERT,-0.000149,-0.796605,1.210873,0.000967,0.802811,0.000174
1780622087.271899,2893,INSERTED,OK,8,ABORT,-0.000147,-0.795454,1.208573,0.000962,0.801614,0.000174
1780622087.393784,2894,INSERTED,OK,6,INSERTED,-0.000147,-0.796589,1.210719,0.000974,0.802786,0.000175
1780622087.485274,2895,INSERTED,OK,5,INSERT,-0.000150,-0.796712,1.211076,0.000968,0.802921,0.000174
1780622087.615678,2896,INSERTED,OK,5,INSERT,-0.000156,-0.796258,1.210520,0.000950,0.802466,0.000172
1780622087.701168,2897,INSERTED,OK,6,INSERTED,-0.000147,-0.795595,1.208838,0.000961,0.801763,0.000173
1780622087.830632,2898,INSERTED,OK,6,INSERTED,-0.000148,-0.796495,1.210591,0.000970,0.802693,0.000174
1780622087.924987,2899,INSERTED,OK,8,ABORT,-0.000148,-0.795626,1.208924,0.000963,0.801791,0.000175
1780622088.057020,2900,RETREAT,OK,5,INSERT,-0.000149,-0.796398,1.210435,0.000967,0.802595,0.000174
1780622088.145117,2901,RETREAT,OK,6,INSERTED,-0.000149,-0.796102,1.209936,0.000960,0.802293,0.000172
1780622088.273384,2902,RETREAT,OK,8,ABORT,-0.000147,-0.795999,1.209591,0.000971,0.802172,0.000176
1780622088.356408,2903,RETREAT,OK,6,INSERTED,-0.000148,-0.796020,1.209712,0.000963,0.802205,0.000173
1780622088.483251,2904,RETREAT,OK,6,INSERTED,-0.000147,-0.796285,1.210168,0.000969,0.802475,0.000174
1780622088.617499,2905,RETREAT,OK,6,INSERTED,-0.000146,-0.795635,1.208874,0.000964,0.801801,0.000174
1780622088.717134,2906,RETREAT,OK,5,INSERT,-0.000148,-0.795877,1.209438,0.000961,0.802058,0.000173
1780622088.846821,2907,RETREAT,OK,8,ABORT,-0.000147,-0.795411,1.208507,0.000960,0.801570,0.000174
1780622088.940514,2908,RETREAT,OK,8,ABORT,-0.000151,-0.795369,1.208596,0.000953,0.801533,0.000174
1780622089.047631,2909,RETREAT,OK,5,INSERT,-0.000148,-0.796254,1.210137,0.000966,0.802445,0.000174
1780622089.149084,2910,RETREAT,OK,6,INSERTED,-0.000146,-0.795423,1.208500,0.000960,0.801585,0.000173
1780622089.283197,2911,RETREAT,OK,6,INSERTED,-0.000148,-0.795980,1.209614,0.000963,0.802162,0.000173
1780622089.383994,2912,RETREAT,OK,5,INSERT,-0.000150,-0.796364,1.210440,0.000963,0.802564,0.000173
1780622089.508167,2913,RETREAT,OK,8,ABORT,-0.000148,-0.795892,1.209466,0.000964,0.802068,0.000175
1780622089.600631,2914,RETREAT,OK,6,INSERTED,-0.000148,-0.794870,1.207551,0.000948,0.801020,0.000172
1780622089.755150,2915,RETREAT,OK,5,INSERT,-0.000149,-0.796237,1.210162,0.000963,0.802432,0.000173
1780622089.825254,2916,RETREAT,OK,6,INSERTED,-0.000148,-0.795513,1.208707,0.000962,0.801675,0.000174
1780622089.938597,2917,RETREAT,OK,5,INSERT,-0.000148,-0.796084,1.209808,0.000965,0.802270,0.000173
1780622090.031045,2918,RETREAT,OK,5,INSERT,-0.000148,-0.796286,1.210187,0.000967,0.802477,0.000174
1780622090.178157,2919,RETREAT,OK,6,INSERTED,-0.000148,-0.796091,1.209821,0.000969,0.802269,0.000176
