stamp_s,state,fx_n,fy_n,fz_n,force_norm_n,tx_nm,ty_nm,tz_nm,torque_norm_nm,peg_x_m,peg_y_m,peg_z_m,xy_error_m
0.001000000,UNKNOWN,6.948910582,0.055133014,-2.701594443,7.455803810,0.007369421,-0.135320890,0.000000000,0.135521407,nan,nan,nan,nan
0.010000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.020000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.030000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.040000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,-0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.050000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.060000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.067000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,-0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.080000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.090000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.100000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,-0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.110000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.121000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.130000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,-0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.140000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.150000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,-0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.160000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.170000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.180000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.190000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.199000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.210000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.220000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.231000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.241000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.250000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.260000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.270000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.280000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.290000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.298000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.310000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.322000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.330000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.340000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,-0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.350000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.360000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
0.370000000,UNKNOWN,6.948910609,0.000000000,-2.701594474,7.455600000,0.000000000,-0.135320891,0.000000000,0.135320891,0.800000000,0.099056202,1.039871859,0.409676228
