trial,final_state,trial_outcome,success,failed_phase,insertion_depth_m,peak_raw_fz_N,sustained_contact_force_N,max_cartesian_error_m,timeout,safety_abort,return_code,elapsed_s,reason,log_path,tracking_log_dir
1,DONE,SUCCESS,True,,0.0202,99.99,72.47,0.014003,False,False,-15,223.05,"Full cycle completed. Insertion depth 0.020m, contact 49.9N during INSERT.",diagnostics/research_baseline_velocity_state_500hz_repeat_v1/trial_01.log,diagnostics/research_baseline_velocity_state_500hz_repeat_v1/trial_01_tracking
2,DONE,ABORTED,False,INSERT,0.0,96.58,64.8,0.01354,False,False,0,178.32,INSERT aborted: no-contact XY error 0.0012m exceeds physical clearance 0.0010m before meaningful insertion depth 0.0010m for 3 ticks after descent command start.,diagnostics/research_baseline_velocity_state_500hz_repeat_v1/trial_02.log,diagnostics/research_baseline_velocity_state_500hz_repeat_v1/trial_02_tracking
3,DONE,ABORTED,False,INSERT,0.0,98.21,74.93,0.014477,False,False,0,182.74,INSERT aborted: no-contact XY error 0.0010m exceeds physical clearance 0.0010m before meaningful insertion depth 0.0010m for 3 ticks after descent command start.,diagnostics/research_baseline_velocity_state_500hz_repeat_v1/trial_03.log,diagnostics/research_baseline_velocity_state_500hz_repeat_v1/trial_03_tracking
