elapsed_sec,frame_id,suggested_force_x_n,suggested_force_y_n,suggested_force_z_n,command_output_enabled
0.488,contact_frame,0.000000,0.000000,0.000000,false
0.689,contact_frame,0.000000,0.000000,0.000000,false
0.888,contact_frame,0.000000,0.000000,0.000000,false
1.088,contact_frame,0.000000,0.000000,0.000000,false
1.289,contact_frame,0.000000,0.000000,0.000000,false
1.489,contact_frame,0.000000,0.000000,0.000000,false
1.688,contact_frame,0.000000,0.000000,0.000000,false
1.890,contact_frame,0.000000,0.000000,0.000000,false
2.087,contact_frame,0.000000,0.000000,0.000000,false
2.288,contact_frame,0.000000,0.000000,0.000000,false
2.488,contact_frame,0.000000,0.000000,0.000000,false
2.688,contact_frame,0.000000,0.000000,0.000000,false
2.888,contact_frame,0.000000,0.000000,0.000000,false
3.089,contact_frame,0.000000,0.000000,0.000000,false
3.288,contact_frame,0.000000,0.000000,0.000000,false
3.488,contact_frame,0.000000,0.000000,0.000000,false
3.688,contact_frame,0.000000,0.000000,0.000000,false
3.889,contact_frame,0.000000,0.000000,0.000000,false
4.088,contact_frame,0.000000,0.000000,0.000000,false
4.289,contact_frame,0.000000,0.000000,0.000000,false
4.488,contact_frame,0.000000,0.000000,0.000000,false
4.688,contact_frame,0.000000,0.000000,0.000000,false
4.889,contact_frame,0.000000,0.000000,0.000000,false
5.088,contact_frame,0.000000,0.000000,0.000000,false
5.287,contact_frame,0.000000,0.000000,0.000000,false
5.683,contact_frame,0.000000,0.000000,0.000000,false
5.688,contact_frame,0.000000,0.000000,0.000000,false
5.888,contact_frame,0.000000,0.000000,0.000000,false
6.088,contact_frame,0.000000,0.000000,0.000000,false
6.287,contact_frame,0.000000,0.000000,0.000000,false
6.488,contact_frame,0.000000,0.000000,0.000000,false
6.690,contact_frame,0.000000,0.000000,0.000000,false
6.888,contact_frame,0.000000,0.000000,0.000000,false
7.089,contact_frame,0.000000,0.000000,0.000000,false
7.288,contact_frame,0.000000,0.000000,0.000000,false
7.488,contact_frame,0.000000,0.000000,0.000000,false
7.689,contact_frame,0.000000,0.000000,0.000000,false
7.889,contact_frame,0.000000,0.000000,0.000000,false
8.088,contact_frame,0.000000,0.000000,0.000000,false
8.288,contact_frame,0.000000,0.000000,0.000000,false
8.488,contact_frame,0.000000,0.000000,0.000000,false
8.690,contact_frame,0.000000,0.000000,0.000000,false
8.888,contact_frame,0.000000,0.000000,0.000000,false
9.090,contact_frame,0.000000,0.000000,0.000000,false
9.288,contact_frame,0.000000,0.000000,0.000000,false
9.488,contact_frame,0.000000,0.000000,0.000000,false
9.688,contact_frame,0.000000,0.000000,0.000000,false
9.889,contact_frame,0.000000,0.000000,0.000000,false
10.088,contact_frame,0.000000,0.000000,0.000000,false
10.289,contact_frame,0.000000,0.000000,0.000000,false
10.488,contact_frame,0.000000,0.000000,0.000000,false
10.690,contact_frame,0.000000,0.000000,0.000000,false
10.890,contact_frame,0.000000,0.000000,0.000000,false
11.089,contact_frame,0.000000,0.000000,0.000000,false
11.288,contact_frame,0.000000,0.000000,0.000000,false
11.489,contact_frame,0.000000,0.000000,0.000000,false
11.691,contact_frame,0.000000,0.000000,0.000000,false
11.889,contact_frame,0.000000,0.000000,0.000000,false
12.089,contact_frame,0.000000,0.000000,0.000000,false
12.288,contact_frame,0.000000,0.000000,0.000000,false
