elapsed_sec,contact_state,force_magnitude_n,torque_magnitude_nm,command_output_enabled,motion_execution_enabled
0.488,no_contact,0.000000,0.000000,false,false
0.689,no_contact,0.000000,0.000000,false,false
0.888,no_contact,0.000000,0.000000,false,false
1.088,no_contact,0.000000,0.000000,false,false
1.289,no_contact,0.000000,0.000000,false,false
1.489,no_contact,0.000000,0.000000,false,false
1.688,no_contact,0.000000,0.000000,false,false
1.890,no_contact,0.000000,0.000000,false,false
2.087,no_contact,0.000000,0.000000,false,false
2.288,no_contact,0.000000,0.000000,false,false
2.488,no_contact,0.000000,0.000000,false,false
2.688,no_contact,0.000000,0.000000,false,false
2.888,no_contact,0.000000,0.000000,false,false
3.089,no_contact,0.000000,0.000000,false,false
3.288,no_contact,0.000000,0.000000,false,false
3.488,no_contact,0.000000,0.000000,false,false
3.688,no_contact,0.000000,0.000000,false,false
3.889,no_contact,0.000000,0.000000,false,false
4.088,no_contact,0.000000,0.000000,false,false
4.289,no_contact,0.000000,0.000000,false,false
4.488,no_contact,0.000000,0.000000,false,false
4.688,no_contact,0.000000,0.000000,false,false
4.889,no_contact,0.000000,0.000000,false,false
5.088,no_contact,0.000000,0.000000,false,false
5.287,no_contact,0.000000,0.000000,false,false
5.683,no_contact,0.000000,0.000000,false,false
5.688,no_contact,0.000000,0.000000,false,false
5.888,no_contact,0.000000,0.000000,false,false
6.088,no_contact,0.000000,0.000000,false,false
6.287,no_contact,0.000000,0.000000,false,false
6.488,no_contact,0.000000,0.000000,false,false
6.690,no_contact,0.000000,0.000000,false,false
6.888,no_contact,0.000000,0.000000,false,false
7.089,no_contact,0.000000,0.000000,false,false
7.288,no_contact,0.000000,0.000000,false,false
7.488,no_contact,0.000000,0.000000,false,false
7.689,no_contact,0.000000,0.000000,false,false
7.889,no_contact,0.000000,0.000000,false,false
8.088,no_contact,0.000000,0.000000,false,false
8.288,no_contact,0.000000,0.000000,false,false
8.488,no_contact,0.000000,0.000000,false,false
8.690,no_contact,0.000000,0.000000,false,false
8.888,no_contact,0.000000,0.000000,false,false
9.090,no_contact,0.000000,0.000000,false,false
9.288,no_contact,0.000000,0.000000,false,false
9.488,no_contact,0.000000,0.000000,false,false
9.688,no_contact,0.000000,0.000000,false,false
9.889,no_contact,0.000000,0.000000,false,false
10.088,no_contact,0.000000,0.000000,false,false
10.289,no_contact,0.000000,0.000000,false,false
10.488,no_contact,0.000000,0.000000,false,false
10.690,no_contact,0.000000,0.000000,false,false
10.890,no_contact,0.000000,0.000000,false,false
11.089,no_contact,0.000000,0.000000,false,false
11.288,no_contact,0.000000,0.000000,false,false
11.489,no_contact,0.000000,0.000000,false,false
11.691,no_contact,0.000000,0.000000,false,false
11.889,no_contact,0.000000,0.000000,false,false
12.089,no_contact,0.000000,0.000000,false,false
12.288,no_contact,0.000000,0.000000,false,false
