stamp_s,state,fx_n,fy_n,fz_n,force_norm_n,tx_nm,ty_nm,tz_nm,torque_norm_nm,peg_x_m,peg_y_m,peg_z_m,xy_error_m
158.020000000,DONE,8.008354847,31.753412507,20.680570536,38.731110892,0.908763071,-0.215792773,0.062264827,0.936105629,0.798784532,0.100448871,1.040693182,0.409866246
158.030000000,DONE,-13.447415327,7.480761181,-85.673138211,87.044134655,6.236506709,1.633082027,-0.099860908,6.447553415,0.801168904,0.097501216,1.039573181,0.409344508
158.040000000,DONE,16.530178736,-34.968107719,12.393770287,40.615525461,-0.948503487,-0.534438762,-0.067799934,1.090816431,0.801802278,0.099226263,1.037575919,0.411033917
158.050000000,DONE,-23.929586439,-98.848399292,-64.164549105,120.252735984,-11.306679729,1.912770683,-0.001409832,11.467331867,0.801184287,0.098764348,1.037916699,0.410273980
158.060000000,DONE,8.749371953,8.711038693,-22.394492938,25.572387816,-0.094227992,0.028252423,-0.054600425,0.112509201,0.798266135,0.098378565,1.037725803,0.407997316
158.070000000,DONE,45.904693460,143.247753767,66.058680701,164.289102307,12.684363634,-2.165634919,0.178258126,12.869142604,0.796343020,0.098726965,1.038614589,0.406943809
158.081000000,DONE,-0.427430115,31.360109726,-20.729904282,37.594788337,0.768249860,-0.112105529,0.062712039,0.778914820,0.797501283,0.098965379,1.039712709,0.407905945
158.093000000,DONE,30.534301383,-63.033517574,98.539972594,120.895384930,-8.150249838,-1.754745613,0.097889462,8.337582799,0.802552020,0.100819005,1.040184222,0.412707787
158.100000000,DONE,5.685062366,-21.069483567,0.296889163,21.825013518,-0.281276450,0.018197703,-0.009989154,0.282041452,0.802689973,0.098856359,1.038033781,0.411374214
158.110000000,DONE,33.869156942,22.659363974,65.509804033,77.149860610,6.068590145,-1.699729271,-0.041266205,6.302266960,0.802045756,0.097319391,1.037125077,0.409815359
158.120000000,DONE,13.257606183,9.423912428,-1.096152394,16.302631604,-0.252351249,-0.275828783,-0.050884618,0.377295527,0.799057189,0.098994969,1.035044369,0.408987660
158.130000000,DONE,54.790584632,43.219863233,54.384497919,88.473941678,-3.969995967,-2.276085715,0.298160536,4.585884197,0.798002845,0.099326264,1.034957700,0.408511682
158.140000000,DONE,20.850643137,30.786363305,-5.999723833,37.663592113,0.901125867,-0.511872232,0.058890986,1.038031386,0.798509954,0.098335373,1.035652223,0.408132073
158.150000000,DONE,-26.815014372,-43.282972163,-69.042818944,85.786779418,4.427361230,1.777891456,-0.305061052,4.780741338,0.800821949,0.097935462,1.036603801,0.409422162
158.161000000,DONE,-1.425491864,-32.802797136,19.529548865,38.202863844,-0.931053092,0.091075056,-0.050465824,0.936857153,0.802372837,0.099095613,1.038057080,0.411330287
158.170000000,DONE,-21.725256496,-93.531084694,-26.559842186,99.626682123,-10.798610649,0.635552200,-0.187341197,10.818919321,0.800680007,0.098488730,1.039839456,0.409727700
158.180000000,DONE,-1.586995320,8.756321831,35.163868224,36.272432434,-0.207158693,0.054254778,-0.032658394,0.216621503,0.797602488,0.100107323,1.041034205,0.408812361
158.190000000,DONE,-34.680193660,-5.368369409,-42.164419286,54.857756754,5.049838381,1.827488573,-0.305734267,5.379038539,0.799801611,0.099886387,1.040133121,0.410147274
158.200000000,DONE,-9.456592068,-35.315674688,-45.765614131,58.575724059,-0.983158830,0.432023961,-0.055747021,1.075338885,0.803255325,0.097770027,1.038422099,0.410975143
158.210000000,DONE,32.826834437,2.188685707,-21.170867261,39.122845307,-4.742555837,-0.604412234,0.285725417,4.789445587,0.801991201,0.098110545,1.037796835,0.410352208
158.220000000,DONE,-0.196121209,-16.181797085,22.895956783,28.037722044,-0.525572867,0.043066454,-0.056329928,0.530334440,0.799689500,0.100142569,1.037199792,0.410258185
158.230000000,DONE,-27.614811648,6.874609360,-71.877736750,77.306190674,6.058894460,1.819911908,-0.298695354,6.333364062,0.798159894,0.097509444,1.038450485,0.407289572
158.240000000,DONE,13.639739585,1.475185832,11.681519522,18.018783742,-0.331183237,-0.476956201,-0.057890242,0.583541630,0.798832039,0.099308332,1.038305289,0.409063300
158.250000000,DONE,-59.852404306,-160.934224247,-75.965660641,187.757600197,-13.457097575,2.711645197,-0.222494033,13.729384488,0.803414003,0.098530594,1.040495671,0.411635777
158.260000000,DONE,4.419990347,-4.205921983,15.024504021,16.216097418,0.292691471,0.070573944,0.055047350,0.306070563,0.803434532,0.098996710,1.040031989,0.411988066
158.269000000,DONE,-24.198706115,-35.601242671,-79.917629021,90.773637614,4.613708047,1.784349701,-0.304189633,4.956080823,0.801237124,0.097166431,1.038862846,0.409148149
158.280000000,DONE,19.520970109,37.090094108,-3.105554372,42.028416850,0.972771795,-0.470619133,0.063371856,1.082489411,0.798291148,0.098241723,1.037315034,0.407914315
158.291000000,DONE,-20.836409431,-95.726617042,-81.546990035,127.466280844,-10.636625533,1.734062876,-0.174667080,10.778463961,0.798696004,0.097283810,1.039053476,0.407491259
158.301000000,DONE,-2.013923856,3.829621772,26.921047639,27.266549071,-0.297066727,0.094824367,-0.035564167,0.313855239,0.799832525,0.099087159,1.039867738,0.409584388
158.310000000,DONE,43.930548540,37.112034575,93.866365046,110.082199707,1.366293804,-2.221810813,0.247925797,2.620051383,0.801656867,0.099493170,1.039902716,0.411128629
158.322000000,DONE,-2.699752990,-21.805193449,-11.754603209,24.918383258,-0.428884375,-0.063106910,-0.017655603,0.433861740,0.802059955,0.098569303,1.039277183,0.410732817
158.330000000,DONE,27.073353905,-97.273733137,66.516547433,120.911524399,-11.577009031,-1.622387203,-0.179744914,11.691517720,0.800952370,0.099808056,1.037389445,0.410876021
158.340000000,DONE,14.086560791,37.585856011,-28.552124531,49.258010336,1.007678158,0.007344287,0.069158708,1.010075312,0.798375620,0.097679381,1.037719175,0.407561037
158.350000000,DONE,-46.674431016,-11.066503152,-40.086295221,62.513047176,4.816252678,2.324032255,-0.329574100,5.357801309,0.798325364,0.098811006,1.038011132,0.408354045
158.360000000,DONE,10.408957828,-34.367617014,-23.031920994,42.660858957,-0.885137150,-0.000731524,-0.038940303,0.885993598,0.800214382,0.098567465,1.038258855,0.409466276
158.368000000,DONE,22.874761220,-81.689072849,44.807357559,95.937785128,-10.519952562,-1.692369667,0.069405208,10.655436832,0.803390758,0.099125761,1.039974533,0.412051626
