elapsed_sec,joint_states,tf,rgb_image,depth_image,contact_wrench,contact_state,safety_status,readiness_gates,pre_control_contract,controller_boundary_report,all_required_inputs_available,status
16.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.060,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.660,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
17.860,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.063,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.460,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.662,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
18.861,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.062,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.262,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.462,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.661,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
19.862,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
20.063,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
20.260,true,true,false,false,true,true,true,true,true,true,false,control_development_scaffold_pending
