elapsed_sec,proposal_generated,proposal_blocked,command_output_enabled,virtual_force_magnitude_n,admittance_linear_speed_mps,sent_to_controller,status
17.860,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
18.063,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
18.260,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
18.460,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
18.662,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
18.861,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
19.062,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
19.262,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
19.462,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
19.661,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
19.862,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
20.063,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
20.260,true,true,false,0.000000,0.000000,false,blocked_waiting_for_inputs
